車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
GE6,FF,3900,1695,1525,2500,150,1070,5,フィット,G (CVT),4G,R,直4,SOHC,1339,73,127,42,CVT,175/65R14,24.0,4.7,1197000 ,コンパクト,fit_ov.jpg,fit_drv.jpg
GE6,FF,3900,1695,1525,2500,150,1030,5,フィット,L (CVT),4G,R,直4,SOHC,1339,73,127,42,CVT,175/65R14,21.5,4.7,1344000 ,コンパクト,fit_ov.jpg,fit_drv.jpg
GE7,4WD,3900,1695,1550,2500,145,1140,5,フィット,G 4WD (5AT),4G,R,直4,SOHC,1339,73,127,42,AT,175/65R15,17.0,4.9,1407000 ,コンパクト,fit_ov.jpg,fit_drv.jpg
GE7,4WD,3900,1695,1550,2500,145,1140,5,フィット,L 4WD (5AT),4G,R,直4,SOHC,1339,73,127,42,AT,175/65R15,17.0,4.9,1554000 ,コンパクト,fit_ov.jpg,fit_drv.jpg
GE8,FF,3920,1695,1525,2500,150,1080,5,フィット,RS (M-CVT),4G,R,直4,SOHC,1496,88,145,42,M-CVT,175/65R15,19.6,4.9,1575000 ,コンパクト,fit_ov.jpg,fit_drv.jpg
GE8,FF,3920,1695,1525,2500,150,1050,5,フィット,RS (5MT),4G,R,直4,SOHC,1496,88,145,42,MT,175/65R15,17.2,4.9,1785000 ,コンパクト,fit_ov.jpg,fit_drv.jpg
GE9,4WD,3920,1695,1550,2500,145,1160,5,フィット,RS 4WD (5AT),4G,R,直4,SOHC,1496,88,145,42,AT,185/55R16,16.2,4.9,1785000 ,コンパクト,fit_ov.jpg,fit_drv.jpg
GK1,FF,4125,1695,1740,2740,155,1240,5,モビリオスパイク,AU (CVT),4G,R,直4,SOHC,1496,81,143,42,CVT,185/65R14,17.6,5.3,1522500 ,ワゴン＆２ボックス,mobilio_sp_ov.jpg,mobilio_sp_drv.jpg
GK1,FF,4125,1695,1740,2740,155,1250,5,モビリオスパイク,W (CVT),4G,R,直4,SOHC,1496,81,143,42,CVT,185/65R14,17.6,5.3,1638000 ,ワゴン＆２ボックス,mobilio_sp_ov.jpg,mobilio_sp_drv.jpg
GK2,4WD,4125,1695,1740,2740,155,1340,5,モビリオスパイク,AU 4WD (CVT),4G,R,直4,SOHC,1496,81,143,42,CVT,185/65R14,15.4,5.3,1711500 ,ワゴン＆２ボックス,mobilio_sp_ov.jpg,mobilio_sp_drv.jpg
GJ1,FF,4350,1695,1505,2550,160,1160,5,エアウェイブ,M (CVT),4G,R,直4,SOHC,1496,81,143,42,CVT,185/65R14,18.0,5.1,1533000 ,ワゴン＆２ボックス,airwave_ov.jpg,airwave_drv.jpg
GJ1,FF,4350,1695,1515,2550,160,1190,5,エアウェイブ,SKY (M-CVT),4G,R,直4,SOHC,1496,81,143,42,M-CVT,195/55R15,18.0,5.3,1638000 ,ワゴン＆２ボックス,airwave_ov.jpg,airwave_drv.jpg
GJ2,4WD,4350,1695,1520,2550,150,1240,5,エアウェイブ,Mスタイルエディション4WD (M-CVT),4G,R,直4,SOHC,1496,81,143,42,M-CVT,185/65R14,17.0,5.2,1711500 ,ワゴン＆２ボックス,airwave_ov.jpg,airwave_drv.jpg
CM1,FF,4750,1760,1470,2720,150,1480,5,アコードワゴン,20A (5AT),4G,R,直4,DOHC,1998,114,188,65,EAT,195/65R15,13.4,5.5,2142000 ,ワゴン＆２ボックス,accord_wgn_ov.jpg,accord_wgn_drv.jpg
CM2,FF,4750,1760,1470,2720,150,1570,5,アコードワゴン,タイプS (5AT),4G,P,直4,DOHC,2354,147,232,65,EAT,225/45R17,11.4,5.6,2656500 ,ワゴン＆２ボックス,accord_wgn_ov.jpg,accord_wgn_drv.jpg
