車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
Z21A,FF,3885,1680,1550,2500,150,1020,5,コルト,Very (CVT),4G,R,直4,DOHC,1332,68,124,45,CVT,175/65R14,19.2,4.7,1228500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z21A,FF,3885,1680,1550,2500,150,1020,5,コルト,1.3G (CVT),4G,R,直4,DOHC,1332,68,124,45,CVT,175/65R14,19.2,4.7,1407000 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z21A,FF,3885,1680,1550,2500,150,1020,5,コルト,1.3RX (CVT),4G,R,直4,DOHC,1332,68,124,45,CVT,185/55R15,19.2,4.9,1375500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z23A,FF,3885,1680,1550,2500,150,1040,5,コルト,1.5G (CVT),4G,R,直4,DOHC,1499,77,141,45,CVT,175/65R14,18.2,4.7,1554000 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z23A,FF,3885,1680,1550,2500,150,990,5,コルト,1.5C (5MT),4G,R,直4,DOHC,1499,77,141,45,MT,175/65R14,17.8,4.7,1281000 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z23A,FF,3885,1680,1550,2500,140,1040,5,コルト,1.5RX (M-CVT),4G,R,直4,DOHC,1468,77,141,45,M-CVT,185/55R15,17.8,4.7,1501500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z27AG,FF,3925,1695,1535,2500,150,1110,4,コルト,ラリーアート Version-R (5MT),4G,P,直4,DOHC,1332,120,210,45,MT,205/45R16,15.4,5.4,1984500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z22A,4WD,3885,1680,1550,2500,150,110,5,コルト,1.3G 4WD (CVT),4G,R,直4,DOHC,1499,67,122,45,CVT,175/65R14,17.8,4.7,1596000 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z24A,4WD,3885,1680,1550,2500,150,1100,5,コルト,1.5RX 4WD (CVT),4G,R,直4,DOHC,1499,75,138,45,M-CVT,185/55R15,17.6,4.9,1690500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z23W,FF,4185,1680,1550,2500,150,1080,5,コルトプラス,Very (CVT),4G,R,直4,DOHC,1499,77,141,45,CVT,175/65R14,18.2,4.7,1386000 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z23W,FF,4185,1680,1550,2500,150,1090,5,コルトプラス,1.5G (CVT),4G,R,直4,DOHC,1499,77,141,45,CVT,175/65R14,18.2,4.7,1627500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z23W,FF,4185,1680,1550,2500,150,1090,5,コルトプラス,1.5RX (M-CVT),4G,R,直4,DOHC,1499,77,141,45,M-CVT,185/55R15,18.2,4.9,1522500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z27WG,FF,4195,1680,1550,2500,150,1170,5,コルトプラス,ラリーアート (M-CVT),4G,P,直4,DOHC,1468,113,180,45,M-CVT,185/55R15,15.6,4.9,1837500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z24W,4WD,4185,1680,1550,2500,150,1150,5,コルトプラス,Very+Navi 4WD (CVT),4G,R,直4,DOHC,1499,75,138,45,CVT,175/65R14,17.6,4.7,1743000 ,コンパクト,colt_ov.jpg,colt_drv.jpg
Z24W,4WD,4185,1680,1550,2500,150,1150,5,コルトプラス,1.5RX 4WD (CVT),4G,R,直4,DOHC,1499,75,138,45,CVT,185/55R15,17.6,4.9,1711500 ,コンパクト,colt_ov.jpg,colt_drv.jpg
