車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
AK12,FF,4400,1680,1520,2430,135,1040,5,ビュート,12ST (4AT),4G,R,直4,DOHC,1240,66,121,41,EAT,165/70R14,,4.4,2195000 ,コンパクト,,
AK12,FF,4400,1680,1520,2430,135,1040,5,ビュート,12LX (4AT),4G,R,直4,DOHC,1240,66,121,41,EAT,165/70R14,,4.4,2462000 ,コンパクト,,
YK12,FF,4400,1680,1520,2430,150,1080,5,ビュート,15LX (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,165/70R14,,4.4,2651000 ,コンパクト,,
BNK12,4WD,4400,1680,1530,2430,140,1130,5,ビュート,14LX 4WD (CVT),4G,R,直4,DOHC,1386,71,136,41,EAT,165/70R14,,4.4,2685000 ,コンパクト,,
NZE141G,FF,4580,1695,1480,2600,160,1205,5,ヌエラ 6-02 ワゴン,15ST (CVT),4G,R,直4,DOHC,1496,81,140,50,CVT,195/65R15,18.6,5.1,2385000 ,ワゴン＆２ボックス,,
NZE141G,FF,4580,1695,1480,2600,160,1205,5,ヌエラ 6-02 ワゴン,15LX (CVT),4G,R,直4,DOHC,1496,81,140,50,CVT,195/65R15,18.6,5.1,2580000 ,ワゴン＆２ボックス,,
ZRE144G,4WD,4580,1695,1490,2600,155,1315,5,ヌエラ 6-02 ワゴン,18LX 4WD (CVT),4G,R,直4,DOHC,1797,92,163,50,CVT,195/65R15,14.4,5.2,3015000 ,ワゴン＆２ボックス,,
NZE141,FF,4645,1695,1460,2600,160,1105,5,ヌエラ 6-02,15ST (5MT),4G,R,直4,DOHC,1496,81,140,50,MT,185/70R14,17.2,4.9,2345000 ,セダン,,
NZE141,FF,4645,1695,1460,2600,160,1105,5,ヌエラ 6-02,15LX (CVT),4G,R,直4,DOHC,1496,81,140,50,CVT,185/70R14,17.2,4.9,2680000 ,セダン,,
ZRE144,4WD,4645,1695,1470,2600,155,1275,5,ヌエラ 6-02,18LX 4WD (CVT),4G,R,直4,DOHC,1797,92,163,50,CVT,195/65R15,14.4,5.2,3175000 ,セダン,,
NZE141,FF,4570,1695,1460,2600,160,1130,5,ガリュー クラシック,15ST (CVT),4G,R,直4,DOHC,1496,81,140,50,CVT,185/70R14,18.6,4.9,2420000 ,セダン,,
NZE144,4WD,4570,1695,1470,2600,155,1230,5,ガリュー クラシック,15LX 4WD (CVT),4G,R,直4,DOHC,1496,81,140,50,CVT,195/65R15,16.2,5.2,2855000 ,セダン,,
ZRE144,4WD,4570,1695,1470,2600,155,1270,5,ガリュー クラシック,18LX 4WD (CVT),4G,R,直4,DOHC,1797,92,163,50,CVT,195/65R15,14.4,5.2,3150000 ,セダン,,
J32,FF,4980,1795,1475,2775,135,1490,5,ガリュー,25ST (CVT),4G,R,直4,DOHC,2495,136,232,70,CVT,205/65R16,12.6,5.3,3680000 ,セダン,,
J32,FF,4980,1795,1475,2775,135,1510,5,ガリュー,25DX (CVT),4G,R,直4,DOHC,2495,136,232,70,CVT,205/65R16,12.6,5.3,3954000 ,セダン,,
J32,FF,4980,1795,1475,2775,135,1520,5,ガリュー,25LX (CVT),4G,R,直4,DOHC,2495,136,232,70,CVT,215/55R17,12.2,5.7,4580000 ,セダン,,
PJ32,FF,4980,1795,1475,2775,135,1580,5,ガリュー,35LX (M-CVT),4G,R,V6,DOHC,3498,163,335,70,CVT,215/55R17,10.0,5.7,5284000 ,セダン,,
NZE141,FF,4570,1695,1460,2600,160,1140,5,ガリュー 2-04,15LX (CVT),4G,R,直4,DOHC,1496,81,140,50,CVT,185/70R14,18.6,4.9,2680000 ,セダン,,
NZE144,4WD,4570,1695,1470,2600,155,1230,5,ガリュー 2-04,15LX 4WD (CVT),4G,R,直4,DOHC,1496,77,135,50,CVT,195/65R15,16.2,5.2,2855000 ,セダン,,
ZRE144,4WD,4570,1695,1470,2600,155,1270,5,ガリュー 2-04,18LX 4WD (CVT),4G,R,直4,DOHC,1797,92,163,50,CVT,195/65R15,14.4,5.2,3175000 ,セダン,,
NCEC,FR,4575,1725,1245,3030,135,1230,2,ヒミコ,S スタンダード (5MT),4G,P,直4,DOHC,1998,120,189,50,MT,205/50R16,,,4580000 ,スペシャリティ,,
NCEC,FR,4575,1725,1245,3030,135,1240,2,ヒミコ,S プレミアム (6MT),4G,P,直4,DOHC,1998,120,189,50,MT,205/50R16,,,4580000 ,スペシャリティ,,
NCEC,FR,4575,1725,1255,3030,135,1280,2,ヒミコ,スタンダード (6MT),4G,P,直4,DOHC,1998,119,189,50,EAT,205/50R16,,,4950000 ,スペシャリティ,,
NCEC,FR,4575,1725,1255,3030,135,1270,2,ヒミコ,プレミアム (6MT),4G,P,直4,DOHC,1998,125,189,50,MT,205/45R17,,,5360000 ,スペシャリティ,,
NCEC,FR,4575,1725,1255,3030,135,1280,2,ヒミコ,ハイ・プレミアム (6AT),4G,P,直4,DOHC,1998,119,189,50,EAT,205/50R16,,,5620000 ,スペシャリティ,,
ABA-MSP1,MR,4560,2035,1180,2600,130,1580,2,オロチ,ゴールドプレミアム (5AT),4G,P,V6,DOHC,3310,172,328,65,EAT,245/45ZR18,8.6,6.4,10500000 ,スペシャリティ,,
