車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
AK12,FF,3725,1600,1525,2430,135,950,5,マーチ,128 (4AT),4G,R,直4,DOHC,1240,66,121,41,EAT,165/70R14,19.0,4.3,1103550 ,コンパクト,march_ov.jpg,march_drv.jpg
YK12,FF,3725,1660,1525,2430,150,980,5,マーチ,15E (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,165/70R14,19.8,4.4,1396500 ,コンパクト,march_ov.jpg,march_drv.jpg
AK12,FF,3725,1670,1505,2430,120,960,5,マーチ,12SR (5MT),4G,R,直4,DOHC,1240,81,134,41,MT,185/55R15,19.8,4.4,1782900 ,コンパクト,march_ov.jpg,march_drv.jpg
YK12,FF,3725,1670,1505,2430,120,1010,5,マーチ,15SR-A (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/60R15,19.8,4.4,1758750 ,コンパクト,march_ov.jpg,march_drv.jpg
BNK12,4WD,3725,1660,1535,2430,140,1040,5,マーチ,14S FOUR (4AT),4G,R,直4,DOHC,1386,71,136,41,EAT,165/70R14,16.8,4.4,1378650 ,コンパクト,march_ov.jpg,march_drv.jpg
FHKZ12,FF,3820,1670,1445,2430,150,1200,4,マイクラC+C,(4AT),4G,P,直4,DOHC,1597,81,153,46,EAT,175/65R15,13.2,4.7,2499000 ,コンパクト,micracc_ov.jpg,micracc_drv.jpg
BZ11,FF,3730,1670,1640,2430,140,1080,5,キューブ,14S (4AT),4G,R,直4,DOHC,1386,72,137,41,EAT,175/65R14,16.4,4.4,1365000 ,コンパクト,cube_ov.jpg,cube_drv.jpg
BZ11,FF,3750,1670,1640,2430,140,1090,5,キューブ,14RS (4AT),4G,R,直4,DOHC,1386,72,137,41,EAT,175/60R15,16.4,4.4,1470000 ,コンパクト,cube_ov.jpg,cube_drv.jpg
YZ11,FF,3730,1670,1640,2430,150,1100,5,キューブ,15M (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/65R14,19.4,4.4,1478400 ,コンパクト,cube_ov.jpg,cube_drv.jpg
YZ11,FF,3750,1670,1640,2430,150,1100,5,キューブ,15RX (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/60R15,19.4,4.4,1605500 ,コンパクト,cube_ov.jpg,cube_drv.jpg
BNZ11,4WD,3730,1670,1650,2430,145,1150,5,キューブ,14S FOUR (4AT),4G,R,直4,DOHC,1386,71,136,41,EAT,175/60R15,16.0,4.4,1554000 ,コンパクト,cube_ov.jpg,cube_drv.jpg
E11,FF,3990,1690,1535,2600,145,1090,5,ノート,15S (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/65R14,19.4,4.7,1337700 ,コンパクト,note_ov.jpg,note_drv.jpg
E11,FF,3990,1690,1535,2600,145,1110,5,ノート,15RX (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/60R15,19.0,4.7,1684200 ,コンパクト,note_ov.jpg,note_drv.jpg
NE11,4WD,3990,1690,1545,2600,155,1170,5,ノート,15E FOUR (4AT),4G,R,直4,DOHC,1498,80,148,45,EAT,175/65R14,16.0,4.7,1675800 ,コンパクト,note_ov.jpg,note_drv.jpg
C11,FF,4205,1695,1535,2600,160,1110,5,ティーダ,15S (4AT),4G,R,直4,DOHC,1498,80,148,45,EAT,185/65R15,16.8,5.2,1459500 ,ワゴン＆２ボックス,tiida_ov.jpg,tiida_drv.jpg
C11,FF,4205,1695,1535,2600,160,1150,5,ティーダ,15M (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,185/65R15,19.4,5.2,1629300 ,ワゴン＆２ボックス,tiida_ov.jpg,tiida_drv.jpg
JC11,FF,4205,1695,1535,2600,160,1180,5,ティーダ,18G (CVT),4G,R,直4,DOHC,1797,94,176,52,CVT,185/65R15,16.4,5.2,1926750 ,ワゴン＆２ボックス,tiida_ov.jpg,tiida_drv.jpg
NC11,4WD,4205,1695,1540,2600,165,1240,5,ティーダ,15M 4WD (CVT),4G,R,直4,DOHC,1498,80,148,45,EAT,185/65R15,16.0,5.2,1795500 ,ワゴン＆２ボックス,tiida_ov.jpg,tiida_drv.jpg
Y12,FF,4415,1695,1495,2600,150,1200,5,ウィングロード,15RX (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/70R14,19.2,4.7,1667400 ,ワゴン＆２ボックス,wingroad_ov.jpg,wingroad_drv.jpg
JY12,FF,4440,1695,1505,2600,160,1250,5,ウィングロード,18RXエアロ (M-CVT),4G,R,直4,DOHC,1797,94,176,45,M-CVT,195/55R16,16.2,5.2,1926750 ,ワゴン＆２ボックス,wingroad_ov.jpg,wingroad_drv.jpg
NY12,4WD,4415,1695,1500,2600,150,1270,5,ウィングロード,15RS FOUR (4AT),4G,R,直4,DOHC,1498,80,148,45,EAT,175/70R14,14.6,4.7,1703100 ,ワゴン＆２ボックス,wingroad_ov.jpg,wingroad_drv.jpg
BGZ11,FF,3900,1670,1645,2600,140,1170,7,キューブキュービック,14S (4AT),4G,R,直4,DOHC,1386,72,137,41,EAT,175/65R14,16.0,4.7,1522500 ,ミニバン,cube3_ov.jpg,cube3_drv.jpg
BGZ11,FF,3920,1670,1645,2600,140,1180,7,キューブキュービック,14RS (4AT),4G,R,直4,DOHC,1386,72,137,41,EAT,175/60R15,16.0,4.7,1627500 ,ミニバン,cube3_ov.jpg,cube3_drv.jpg
YGZ11,FF,3900,1670,1645,2600,150,1190,7,キューブキュービック,15M (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/65R14,19.2,4.7,1659000 ,ミニバン,cube3_ov.jpg,cube3_drv.jpg
YGZ11,FF,3920,1670,1645,2600,150,1200,7,キューブキュービック,15RX (CVT),4G,R,直4,DOHC,1498,80,148,45,CVT,175/60R15,19.2,4.7,1764000 ,ミニバン,cube3_ov.jpg,cube3_drv.jpg
