車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
KGJ10,FF,2985,1680,1500,2000,135,890,4,iQ,100X (CVT),4G,R,直3,DOHC,996,50,90,32,CVT,175/65R15,23.0,3.9,1400000 ,コンパクト,iq_ov.jpg,iq_drv.jpg
KGJ10,FF,2985,1680,1500,2000,135,890,4,iQ,100G (CVT),4G,R,直3,DOHC,996,50,90,32,CVT,175/65R15,23.0,3.9,1500000 ,コンパクト,iq_ov.jpg,iq_drv.jpg
NGJ10,FF,2985,1680,1500,2000,135,950,4,iQ,130G (CVT),4G,R,直4,DOHC,1329,69,118,32,CVT,175/65R15,23.0,3.9,1600000 ,コンパクト,iq_ov.jpg,iq_drv.jpg
NGJ10,FF,3000,1680,1500,2000,135,950,4,iQ,130G レザーパッケージ (CVT),4G,R,直4,DOHC,1329,69,118,32,CVT,170/60R16,23.0,3.9,1700000 ,コンパクト,iq_ov.jpg,iq_drv.jpg
NGJ10,FF,3000,1680,1500,2000,135,950,4,iQ,130G → (ゴー) (6MT),4G,R,直4,DOHC,1329,69,118,32,MT,170/60R16,23.5,3.9,1650000 ,コンパクト,iq_ov.jpg,iq_drv.jpg
KGC10,FF,3600,1665,1535,2440,160,900,5,パッソ,1.0X Fパッケージ （4AT）,4G,R,直3,DOHC,996,52,94,40,EAT,155/80R13,21.5,4.3,1123500 ,コンパクト,passo_ov.jpg,passo_drv.jpg
KGC10,FF,3630,1665,1550,2440,160,900,5,パッソ,1.0 Racy （4AT）,4G,R,直3,DOHC,996,52,94,40,EAT,175/65R14,21.5,4.3,1281000 ,コンパクト,passo_ov.jpg,passo_drv.jpg
QNC10,FF,3600,1665,1550,2440,160,930,5,パッソ,1.3G Fパッケージ （4AT）,4G,R,直4,DOHC,1297,66,123,40,EAT,175/65R14,18.0,4.7,1228500 ,コンパクト,passo_ov.jpg,passo_drv.jpg
QNC10,FF,3630,1665,1550,2440,160,940,5,パッソ,1.3 Racy （4AT）,4G,R,直3,DOHC,996,52,94,38,EAT,175/65R14,18.0,4.7,1407000 ,コンパクト,passo_ov.jpg,passo_drv.jpg
KGC150,4WD,3600,1665,1535,2440,160,940,5,パッソ,1.3G Fパッケージ 4WD （4AT）,4G,R,直3,DOHC,996,52,94,38,EAT,175/65R14,18.4,4.7,1354500 ,コンパクト,passo_ov.jpg,passo_drv.jpg
KGC30,FF,3640,1665,1535,2440,140,910,5,パッソ,1.0X Vパッケージ （CVT）,4G,R,直3,DOHC,996,51,92,40,CVT,155/80R13,22.5,4.3,1000000 ,コンパクト,,
KGC30,FF,3640,1665,1535,2440,140,910,5,パッソ,1.0X （CVT）,4G,R,直3,DOHC,996,51,92,40,CVT,155/80R13,22.5,4.3,1090000 ,コンパクト,,
KGC30,FF,3650,1665,1535,2440,140,910,5,パッソ,1.0 + Hana （CVT）,4G,R,直3,DOHC,996,51,92,40,CVT,165/70R14,22.5,4.7,1295000 ,コンパクト,,
KGC30,FF,3640,1665,1535,2440,140,940,5,パッソ,1.3G （CVT）,4G,R,直4,DOHC,1329,70,121,40,CVT,165/70R14,21.0,4.7,1325000 ,コンパクト,,
KGC30,FF,3650,1665,1535,2440,140,940,5,パッソ,1.3 + Hana （CVT）,4G,R,直4,DOHC,1329,70,121,40,CVT,165/70R14,21.0,4.7,1470000 ,コンパクト,,
KGC35,4WD,3640,1665,1535,2440,140,970,5,パッソ,1.0X 4WD （CVT）,4G,R,直3,DOHC,996,51,92,40,CVT,155/80R13,19.2,4.3,1258000 ,コンパクト,,
KSP90,FF,3785,1695,1520,2460,145,990,5,ヴィッツ,1.0B （CVT）,4G,R,直3,DOHC,996,52,94,42,CVT,165/70R14,22.0,4.4,1071000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
KSP90,FF,3785,1695,1520,2460,145,990,5,ヴィッツ,1.0F （CVT）,4G,R,直4,DOHC,996,52,94,42,CVT,165/70R14,22.0,4.4,1176000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
SCP90,FF,3785,1695,1520,2460,145,1020,5,ヴィッツ,1.3F （CVT）,4G,R,直4,DOHC,1296,64,116,42,CVT,165/70R14,19.6,4.4,1239000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
SCP90,FF,3785,1695,1520,2460,145,1030,5,ヴィッツ,1.3U （CVT）,4G,R,直4,DOHC,1296,64,116,42,CVT,185/60R15,19.6,4.7,1407000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
SCP90,FF,3800,1695,1520,2460,145,1020,5,ヴィッツ,1.3RS （CVT）,4G,R,直4,DOHC,1296,64,116,42,CVT,185/60R15,19.6,4.7,1417500 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
NCP91,FF,3785,1695,1520,2460,145,1060,5,ヴィッツ,1.5U （CVT）,4G,R,直4,DOHC,1496,81,141,42,CVT,185/60R15,18.6,4.7,1470000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
NCP91,FF,3800,1695,1520,2460,145,1040,5,ヴィッツ,1.5RS （5MT）,4G,R,直4,DOHC,1496,81,141,42,MT,195/50R16,17.6,5.5,1638000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
NCP95,4WD,3785,1695,1540,2460,125,1110,5,ヴィッツ,1.3I'II 4WD （4AT）,4G,R,直4,DOHC,1298,64,120,42,EAT,165/70R14,16.0,4.7,1638000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
NCP95,4WD,3785,1695,1540,2460,125,1110,5,ヴィッツ,1.3U 4WD （4AT）,4G,R,直4,DOHC,1298,64,120,42,EAT,185/60R15,16.0,4.7,1575000 ,コンパクト,vitz_ov.jpg,vitz_drv.jpg
NSP130,FF,3885,1595,1500,2610,140,1000,5,ヴィッツ,F スマートストップパッケージ (CVT),4G,R,直4,DOHC,1329,70,121,42,CVT,165/70R14,26.5,4.5,1350000 ,コンパクト,,
NSP130,FF,3885,1595,1500,2610,140,890,5,ヴィッツ,F (CVT),4G,R,直4,DOHC,1329,70,121,42,CVT,165/70R14,24.0,4.5,1290000 ,コンパクト,,
KSP130,FF,3885,1595,1500,2610,140,970,5,ヴィッツ,F M パッケージ (CVT),4G,R,直3,DOHC,996,51,92,42,CVT,165/70R14,23.0,4.5,1060000 ,コンパクト,,
NCP131,FF,3885,1595,1500,2610,140,1040,5,ヴィッツ,U (CVT),4G,R,直4,DOHC,1436,80,133,42,CVT,175/65R15,20.0,4.7,1600000 ,コンパクト,,
NSP130,FF,3885,1595,1500,2610,140,890,5,ヴィッツ,ジュエラ (CVT),4G,R,直4,DOHC,1329,70,121,42,CVT,165/70R14,24.0,4.5,1360000 ,コンパクト,,
NCP131,FF,3885,1595,1500,2610,140,1030,5,ヴィッツ,RS （5MT）,4G,R,直4,DOHC,1496,80,133,42,MT,195/50R16,18.0,5.6,1720000 ,コンパクト,,
NCP131,FF,3885,1595,1500,2610,140,1030,5,ヴィッツ,RS C パッケージ （CVT）,4G,R,直4,DOHC,1496,80,133,42,CVT,195/50R16,20.0,5.6,1600000 ,コンパクト,,
SCP100,FF,3955,1695,1640,2550,155,1120,5,ラクティス,1.3X （CVT）,4G,R,直4,DOHC,1296,64,116,42,CVT,175/60R16,18.4,4.9,1386000 ,コンパクト,ractis_ov.jpg,ractis_drv.jpg
SCP100,FF,3955,1695,1640,2550,155,1130,5,ラクティス,1.3X Lパッケージ （CVT）,4G,R,直4,DOHC,1296,64,116,42,CVT,175/60R16,18.4,4.9,1512000 ,コンパクト,ractis_ov.jpg,ractis_drv.jpg
NCP100,FF,3955,1695,1640,2550,155,1140,5,ラクティス,1.5G （CVT）,4G,R,直4,DOHC,1496,81,141,42,M-CVT,175/60R16,18.0,4.9,1512000 ,コンパクト,ractis_ov.jpg,ractis_drv.jpg
